Model,HyperParameters,Scaler,Test Size,Outlier Handling,Fit Time(s),Validation RMSLE,Test RMSLE
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",None,0.2,YeoJonson,244.43331503868103,0.15133843115751225,0.14939172323803918
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",RobustScaler,0.2,Replace,272.4129278659821,0.15399494503547115,0.14952532906510335
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",MinMaxScaler,0.2,Replace,278.8547692298889,0.15393792633281245,0.1495342255860354
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",None,0.2,Replace,254.02029490470886,0.1539422881310419,0.1495441829592793
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",StandardScaler,0.2,Replace,280.1996734142304,0.15397826488981026,0.14961036959996518
ElasticNet,"{'warm_start': True, 'selection': 'cyclic', 'l1_ratio': 0.9500000000000001, 'alpha': 0.30000000000000004}",MinMaxScaler,0.3,Replace,6.233313322067263,0.15308303744881094,0.14986488782655233
ElasticNet,"{'warm_start': False, 'selection': 'random', 'l1_ratio': 0.8, 'alpha': 0.6}",StandardScaler,0.3,Replace,6.87322211265564,0.15273263635266618,0.1502023516944751
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 128}",MinMaxScaler,0.3,Log,56.059855461120605,0.14530768910760775,0.15050719151631786
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 128}",None,0.3,Log,55.73569202423096,0.14531846990780753,0.15053547511945264
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",MinMaxScaler,0.2,YeoJonson,233.3223216533661,0.15018359563516193,0.1505363393327602
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 128}",RobustScaler,0.3,Log,56.20566916465759,0.14532742062709192,0.15054117523119198
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 128}",StandardScaler,0.3,Log,56.17520499229431,0.1453960179035211,0.1507422425821132
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 128}",StandardScaler,0.3,YeoJonson,55.251465797424316,0.14601963961264636,0.1510814871551078
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 128}",MinMaxScaler,0.3,YeoJonson,55.58513426780701,0.14632917368205262,0.1514030041397564
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 128}",RobustScaler,0.3,YeoJonson,55.86499190330506,0.1463324468214444,0.15147712136080885
